#social|ソーシャルエンジニアリング|SOCIAL ENGINEERING|https://www.cisa.gov/secure-our-world/recognize-and-report-phishing|CISA：フィッシングの認識と報告
フィッシング|信頼できる組織を装い、偽の案内から認証情報などをだまし取る行為|メールのリンクを使わず正規アプリから通知を確認する|送信者の表示名が有名企業ならリンク先でログインする|不自然な催促は兆候の一つだが、文章が自然な偽メールもある|フィッシングメールには必ず誤字が含まれる|誤字の有無で真偽は確定できない。送信元と実際のリンク先、正規窓口を確認する|偽画面に入力した場合は正規経路で認証情報とセッションを保護する|偽画面を閉じれば入力済みのパスワードも回収できる
ワーム|他のシステムへ自ら広がる機能を持つ不正プログラム|脆弱性修正とネットワーク分割を組み合わせる|メール添付を開かないだけですべての感染経路を防ぐ|利用者の操作を要さず拡散する種類がある|ワームは必ず毎回利用者が添付を開かなければ広がらない|自己拡散の仕組みが特徴であり、各端末での手動実行が必要とは限らない|同じ弱点を持つ端末群に被害が広がっていないか調査する|最初に発見した端末だけ修正すれば全体も安全と断定する
トロイの木馬|正規の役立つプログラムに見せかけて不正な機能を実行するもの|正規の配布元と署名を確認し不要な導入を避ける|説明に便利な機能があれば配布元を問わず実行する|役立つ機能と不正な機能を両方持つ場合がある|便利な機能が実際に動くソフトには不正な機能はない|見せかけの正規機能と不正動作は両立する。動くことだけで信頼しない|想定外の通信や自動起動の追加を調べる|画面上の機能が説明どおりなので裏の動作確認を省く
スパイウェア|利用者の情報や行動を不正に収集するプログラム|不要な権限を与えず信頼できるソフトを使う|連絡先や画面の読取り権限をすべてのアプリに与える|画面や入力、閲覧情報など収集対象は種類により異なる|ファイルを壊さないソフトならマルウェアではない|情報を盗むだけでも不正な動作になり得る。破壊の有無だけで判断しない|要求する権限が機能に必要かを確認する|アプリが軽快に動いていれば情報収集の懸念はないとする
キーロガー|キー入力を記録する仕組みで、認証情報の窃取等に悪用されるもの|端末保護と権限管理を行い不審な機器接続も確認する|通信だけ暗号化して入力の記録は対策しない|ソフトウェア型だけでなく機器として仕掛ける型もある|キーロガーは必ず通常のアプリ一覧に表示される|表示されるアプリとは限らず、物理機器の形もある。端末と接続を確認する|侵害が疑われる端末で重要な認証情報を入力し続けない|パスワード欄が伏せ字なら入力を記録されないと断定する
ルートキット|高い権限などを利用し、不正な存在や動作を隠すための仕組み|信頼できる経路で調査し必要なら検証済み媒体から再構築する|侵害されたOSの表示だけで完全に安全と判断する|侵害された環境の自己申告を過信できない場合がある|タスク一覧に不審な項目がなければルートキットは存在しない|一覧の表示自体が影響を受ける場合がある。信頼できる調査手段が必要|再構築後も侵入経路と認証情報の保護を確認する|見つけたファイルを1つ消せば根本原因の調査は不要とする
ボットネット|遠隔の指示等で動く多数の侵害機器から成るネットワーク|機器の更新と初期認証情報の変更、通信監視を行う|利用者のいないIoT機器は保護対象から外す|PC以外のネットワーク機器も構成要素になり得る|ボットネットに参加するのはデスクトップPCだけだ|ルーターやカメラ等も侵害され得る。管理対象を機器種別で狭めない|一定の不審な宛先への通信を機器の用途と照合する|人が操作していない時間の通信をすべて正常と見なす
ファイルレス攻撃|メモリーや既存機能を使い、通常の実行ファイルを少なくする攻撃の総称|プロセスやスクリプト実行も監視する|ダウンロードされた実行ファイルだけを調べる|ファイルが目立たなくてもログやメモリーに手掛かりが残り得る|ファイルレス攻撃には調査可能な証跡が一切ない|通常のファイル以外にも実行ログやメモリーなどの手掛かりがある|正規管理ツールの不自然な使われ方も調べる|正規ツール名のプロセスならその操作をすべて正常とする
EDR|端末の活動を収集し、検知・調査・対応を支援する仕組み|対象端末への配備状況と検知後の対応体制を維持する|導入したのでパッチ適用と権限管理をやめる|収集できる証跡は製品や設定、稼働状態で異なる|EDRを導入すれば端末の脆弱性修正は不要だ|検知と予防は相互補完であり、EDRは更新や基本的な保護を代替しない|検知がない時にもエージェントの稼働と収集範囲を確認する|警告ゼロという数字だけで全端末の安全を保証する
アプリケーション許可制|許可したアプリや実行条件に限定してソフトを動かす対策|業務に必要なソフトを把握して許可規則を管理する|どんな実行ファイルでも名前を合わせれば許可する|承認済みツール自体の悪用も別途検討が必要である|許可済みアプリはどんな引数や用途で動いても安全だ|正規ツールを悪用するケースもあり、実行の文脈や権限の監視が必要|更新時の署名や許可規則の変化を確認する|許可制を入れた後は実行ログを永久に取らない
#email|メールとドメイン|MAIL RELAY|https://csrc.nist.gov/pubs/sp/800/177/r1/final|NIST：Trustworthy Email
SPF|メール送信に使われたIPが、そのドメインの許可範囲か確認する仕組み|正規の送信基盤を整理してSPFを設定する|見た目の差出人名がSPFで必ず本人確認されると考える|転送によってSPFの確認が失敗する場合がある|SPFが成功すればメール本文も正しいと証明される|SPFは送信元の許可に関する確認で、本文の真偽や無害性を証明しない|SPF結果をDKIMやDMARC、実際の経路と合わせて見る|SPFが成功した添付ファイルは検査をせず実行する
DKIM|ドメインの署名によってメールの一部の改変等を検証する仕組み|署名対象と鍵管理を適切に設定する|署名があれば添付はすべて無害とする|中継で署名対象が変わると検証に失敗する場合がある|DKIMはメール本文を暗号化して隠す仕組みだ|DKIMは署名検証の仕組みであり、本文を隠す暗号化とは異なる|失敗時は中継の書き換えや鍵設定も調べる|署名失敗だけで特定の送信者が攻撃者と断定する
DMARC|SPFやDKIMの整合と差出人ドメインの一致に基づき取扱いを示す仕組み|レポートを確認し正規配送への影響を検証して適用する|監視用ポリシーだけで全不正メールを拒否できるとする|p=noneは拒否を要求するポリシーではない|DMARCのp=noneは不一致メールを必ず拒否する|p=noneは主に観測用で、rejectやquarantineと同じ扱いではない|正規の配信業者がドメイン整合を満たすか確かめる|拒否ポリシーを設定したら正規メールの配送結果を確認しない
ビジネスメール詐欺|取引や経営者の依頼を装い、送金等を誘う詐欺|支払先の変更は登録済みの別経路で確認する|メールの返信だけで振込先変更を承認する|本物のメールアカウントが侵害されて使われる場合がある|メール認証が成功していれば振込先変更は無確認でよい|侵害済み正規アカウントからの詐欺もあり、重要な変更は業務手続きで確認する|過去のやり取りも含め変更の経緯を確かめる|既存スレッドの続きなら不正依頼の可能性を除外する
類似ドメイン|正規の名称と紛らわしい文字列で取得される別ドメイン|ホスト名全体を確認し重要サイトはブックマークから開く|URLのどこかに企業名があれば正規とする|綴りの似た名前でも所有者は別であり得る|ドメイン名に企業名が含まれていれば企業の管理下にある|文字列に含まれる名前だけで所有者は分からない。ホスト名を正確に確認する|送信先やアクセス先の実際のホスト名を点検する|ロゴが同じならドメインの綴りの違いを無視する
国際化ドメインの同形異字|見た目が似た異なる文字をドメインに用い、誤認させる問題|文字列の見た目だけに頼らず既知の正規経路を使う|字体が同じに見えればURLが完全一致すると考える|別の文字コードでも画面上で似て見える文字がある|見た目が同じ文字なら必ず同じドメインになる|表示が似ていても異なる文字列とドメインである場合がある|不審なURLは正規窓口の情報と正確に照合する|目視で似ているため文字コードや正規URLの確認を省く
メール自動転送ルール|条件に合う受信メールを他の宛先へ自動送信する設定|外部転送を管理し不審なルールを監査する|パスワード変更後は転送設定を確認しない|侵害後に情報を継続取得するため追加される場合がある|パスワードを変えればメール転送ルールは必ず消える|認証情報の変更と既存のメールルールは別であり、不審な設定を調査する|送信済みメール以外にルール変更の履歴も確認する|送信済み一覧にないため外部転送は起きていないと断定する
マクロ付き添付|文書内の自動処理機能を備え、悪用時に不正処理につながる添付|必要性と配布元を確認し組織のマクロ方針に従う|閲覧のためと言われたら常にマクロを有効にする|文書を装った操作誘導で機能を有効にさせる場合がある|文書ファイルは実行ファイルではないので不正な処理を起こせない|文書の機能や脆弱性が悪用されることがある。拡張子だけで安全と決めない|有効化を促す案内を送信者へ別経路で確認する|文字が読めない画面の指示どおりに保護を解除する
メール隔離|不審なメールを通常の受信から分離し確認する運用|隔離を解除する前に根拠を確認する|急ぎのメールなら中身を確認せずすべて解除する|隔離されたメールにも誤検知があり得る|隔離されたメールはすべて悪意あるものと確定している|隔離は判断の補助であり、誤検知を含めて根拠を調査する|正規送信者との確認と安全な調査を経て扱いを決める|差出人が解除を頼めば検査結果を捨てて解放する
ドメイン乗っ取り|ドメイン管理権限の侵害や失効等で第三者が制御を得ること|登録業者のアカウントと更新・変更の手続きを保護する|Webサーバーだけ守りドメイン管理の認証は共有する|DNSを書き換えられるとWebやメールの到達先に影響し得る|ドメインの管理画面はWebサイトの安全性と関係がない|管理権限は名前解決やメール配送を変えられる場合があり重要である|権限者・更新期限・DNS変更の通知先を点検する|ページが今表示されていればドメイン更新は不要と判断する
#cloud|クラウドの守り|CLOUD TOWER|https://docs.aws.amazon.com/whitepapers/latest/aws-risk-and-compliance/shared-responsibility-model.html|AWS：責任共有モデル
責任共有モデル|クラウド事業者と利用者が保護の責任を分担する考え方|利用サービスごとの責任分界を確認する|クラウドへ移したら利用者側の設定管理をやめる|IaaSとSaaSでは利用者が担う範囲が異なる|クラウド事業者が利用者の全設定ミスに責任を持つ|責任は利用形態によって分かれ、利用者側の設定やデータ管理が残る|新しいサービスを使う前に保護対象と担当を整理する|サービス名にマネージドとあれば権限管理を省く
最小権限のIAM|クラウド上で必要な操作と資源だけへ権限を絞る設計|用途ごとに役割を分け不要な権限を外す|開発の便宜のため全ワークロードに管理者権限を与える|読取り専用でも機密情報への過大なアクセスは問題になり得る|読取り専用権限は機密性への影響がない|読取りでも機密データを取得できる。操作の種類と資源の範囲をともに絞る|実際の利用履歴と業務要件を照合して権限を見直す|書込みを禁止したので全データの閲覧を許可する
公開ストレージ設定|保存資源を不特定の利用者から読める等の状態にするアクセス設定|必要な公開範囲だけ明示的に許可する|保存先URLが長ければ認証なしの公開でも秘密を守れるとする|公開を止めても既に取得されたコピーまでは消せない|公開設定を解除すれば過去の流出データもすべて回収できる|以後のアクセス制限と取得済みデータの回収は別であり、流出範囲の調査が必要|権限変更前後のアクセスログと保存情報を確認する|公開を解除した時点で影響調査を打ち切る
インスタンスメタデータ|クラウド実行環境から設定や一時資格情報等を得るための情報経路|メタデータへの到達と資格情報の権限を制限する|任意URL取得機能からメタデータへ無制限に到達させる|SSRFと組み合わさると資格情報の露出につながる場合がある|内部アドレスのメタデータには外部入力の影響が届かない|外部入力を受けたサーバー自身がアクセスするSSRF等を考慮する必要がある|メタデータ保護設定とURL取得機能の境界を点検する|アドレスが外部公開されていないので検証を省く
シークレット管理|鍵やトークンなどの秘密を専用の仕組みで保管・配布する運用|秘密をコードから分離し取得権限と更新を管理する|リポジトリへ秘密を直接書き込み運用する|環境変数にしてもログへの出力や権限の問題は残り得る|環境変数に入れた秘密は絶対に漏れない|環境変数は保管方法の一つで、ログや実行環境の権限から漏れる可能性がある|漏れた秘密は削除だけでなく失効・再発行する|現在のファイルから消せば過去に公開した鍵も安全とする
一時資格情報|有効期限や利用条件を限定して発行する認証情報|必要な期間と権限に絞り期限後の動作を確認する|短命なら管理者権限を全用途に付けてよいとする|期限内に盗まれれば悪用される可能性がある|有効期限が短いトークンは盗まれても使えない|期限内は有効な場合があり、短命化と最小権限の両方が重要|権限と有効期限を監査し不要な長期鍵を減らす|短い期限だからトークンを公開ログへ出力する
コンテナーイメージ|アプリと実行に必要なファイル等をまとめた配布単位|信頼できる基礎イメージを更新し不要物を除く|イメージ内に本番の秘密鍵を埋め込んで配布する|下のレイヤーに追加した秘密は後で削除しても残る場合がある|最終レイヤーから鍵を消せば全履歴から秘密が消える|以前のレイヤーを取得できる場合がある。ビルド時の秘密の扱いを別途設計する|各レイヤーと依存物の内容を確認する|起動後に鍵ファイルが見えないことだけで配布物を安全とする
コンテナーの特権実行|隔離を弱める広範なホスト権限でコンテナーを動かすこと|特権を避け必要なケイパビリティだけを許可する|動作しない時はすべてのコンテナーを常に特権実行する|ホスト資源を広く操作できる設定は侵害時の影響を大きくする|コンテナーなら特権を与えてもホストに影響しない|コンテナーの境界は設定に依存する。特権やホストのマウントは慎重に扱う|ホストソケットやファイルシステムの共有を確認する|コンテナー名が別ならホストへの到達を調べない
Kubernetes RBAC|KubernetesのAPI操作を役割等に基づき制御する仕組み|サービスアカウントごとの必要な資源と操作に限定する|全ワークロードをcluster-adminで実行する|名前空間内の権限とクラスター全体の権限は区別される|名前空間を分ければcluster-adminの権限も自動で狭まる|クラスター全体に及ぶ権限は名前空間を分けるだけでは制限されない|RoleBindingやClusterRoleBindingの参照先を確認する|権限名が閲覧者に見えるなら中身の規則を確認しない
クラウド監査ログ|クラウド資源の操作主体や変更などを記録するログ|対象・保存期間・改変保護を設定して確認する|アプリのアクセスログだけで管理APIの変更もすべて把握する|データイベント等は別設定が必要なサービスもある|監査ログを1つ有効にすればすべてのデータ操作が記録される|収集範囲はサービスと設定で異なる。必要な操作が実際に残るか検証する|テスト操作を行い主体と時刻、対象が記録されるか確かめる|設定画面が有効と示すだけで記録内容を確認しない
#api|APIと認可|API FRONTIER|https://owasp.org/API-Security/editions/2023/en/0x11-t10/|OWASP：API Security Top 10
オブジェクト単位の認可|APIが対象データごとに利用者の操作権限を検証すること|全エンドポイントで対象への許可を検証する|認証済みなら指定されたすべての顧客IDを許可する|認証の成功と他人のデータの操作許可は別である|APIキーが有効なら全利用者のデータを読んでよい|本人確認の後にも対象単位の認可が必要である|別のテスト利用者のオブジェクトIDで拒否されるか確かめる|正常利用者の1ケースだけで権限境界を保証する
機能単位の認可|管理操作など機能ごとの実行権限を確認すること|管理APIにもサーバー側の役割確認を設ける|管理メニューを非表示にして管理APIの認可を省く|画面から見えないAPIも直接呼ばれる可能性がある|管理画面のURLを秘密にすれば認可確認は不要だ|URLの秘匿は権限検証の代わりにならない。機能ごとに許可を判定する|一般利用者の権限で管理操作が拒否されるか確認する|ボタンが表示されない事実だけで管理APIを安全と判断する
マスアサインメント|外部入力を内部オブジェクトへ広く自動代入し、想定外の属性まで変更される問題|更新を許可する項目を明示的に列挙する|リクエストの全項目を利用者モデルへそのまま代入する|非表示の管理者フラグも入力として送られる場合がある|フォームにない属性はリクエストで送信できない|クライアントのフォームにない項目も送れるため、サーバー側で許可する項目を絞る|権限や所有者の項目が一般更新で変わらないか確認する|画面の入力欄数だけを更新可能な項目数と見なす
過剰なデータ公開|APIが利用目的以上の機密項目等を応答に含めてしまう問題|応答スキーマを定め必要な項目だけ返す|機密項目を返した後で画面側だけ非表示にする|表示されない応答データも利用者の環境で取得できる|画面で隠したAPI応答は利用者には読めない|応答を受け取った利用者は中身を調べられるため、送信前に不要な項目を除く|ネットワーク応答に機密値が含まれないか確認する|DOM上に出ていないことだけで機密値の送信を否定する
API資源枯渇|高負荷なAPI操作や大量要求により計算資源等が尽きる問題|ページサイズや実行時間、利用量に上限を設ける|認証済みなら無制限の重い問い合わせを許可する|金銭的な従量課金の増大も影響になり得る|認証を必須にすればAPIの資源枯渇は起こらない|認証済み利用者や侵害されたアカウントの濫用もあり、資源制限が必要|CPUだけでなく外部API料金やキューも監視する|HTTPの成功率だけを見て費用急増を見落とす
SSRF|サーバーのURL取得等を悪用し、意図しない宛先へ通信させる脆弱性|許可した宛先へ限定し名前解決や転送後の到達先も検証する|入力URLが外部形式なら内部向け通信は不可能とする|攻撃者の端末から直接届かない場所へサーバーが届く場合がある|サーバーが取得するURLはHTTPSなら任意の宛先を許可してよい|HTTPSでも宛先の権限境界は守れない。内部資源や転送先の到達を制限する|DNS解決後やリダイレクト後も宛先制限が有効か検証する|最初のURL文字列だけを見て通信先が安全と断定する
APIインベントリー|APIの所在・版・担当・公開範囲を把握する台帳|旧版と試験用を含め公開APIを棚卸しする|最新版の仕様書だけを管理して旧版を放置する|使われていない旧APIが攻撃面として残ることがある|新しいAPIを公開したら古いAPIは自動で利用不能になる|明示的に停止しない旧版は残る場合がある。実際の到達性と利用状況を確認する|廃止予定のAPIのアクセスを調べて停止する|画面からリンクを削除しただけでAPIを廃止したと扱う
API入力スキーマ|APIが受け入れる型・項目・制約を明示するデータの仕様|型・長さ・範囲をサーバー側で検証する|クライアントが型チェックするのでサーバーでは省く|型が正しくても業務上許されない値はある|JSONとして解析できればすべての入力は適切だ|構文の正しさと業務上の許可は別。型や範囲に加え意味の検証を行う|数値の境界や余分な項目を含めテストする|正常データを1回受け取れたので検証を終える
冪等性キー|同じ処理の再送を識別し、重複実行を防ぐための識別値|利用者と処理内容に結び付けサーバー側で重複を管理する|キーが同じなら異なる利用者の結果も返す|通信切断による再送でも支払い等の重複を抑えるのに役立つ|冪等性キーさえあれば認可確認は不要になる|冪等性は重複実行を扱う性質で、誰に許可するかの判定とは別である|同時再送と異なる内容でのキー再利用を検証する|順番に2回送るテストだけで同時実行も安全と断定する
JWT署名検証|JWTの内容を信用する前に署名と許可した方式などを確認する処理|署名・発行者・対象者・期限を検証する|Base64として読めた内容をそのまま権限判定に使う|一般的な署名JWTのペイロードは暗号化とは限らない|JWTの内容は署名されているので必ず秘密である|署名と暗号化は別。一般的なJWS形式の内容は読み取れるため秘密を詰め込まない|期限切れや対象者が違うトークンの拒否を確かめる|デコードが成功すればトークン検証も成功したと扱う
#development|安全な開発と供給網|BUILD FOUNDRY|https://csrc.nist.gov/pubs/sp/800/218/final|NIST：Secure Software Development Framework
脅威モデリング|設計段階などで資産・攻撃経路・対策を体系的に考える活動|信頼境界とデータの流れを整理して対策を検討する|完成後の脆弱性スキャンだけを設計の検討に代える|設計や構成が変われば見直しが必要になる|一度作った脅威モデルは仕様変更後も更新不要だ|新しい入口や権限、データの流れによって脅威が変わるため更新する|重要な変更のレビューで新たな信頼境界を確認する|古い図のまま新しい連携先のリスクを評価する
SAST|実行前のコード等を解析して問題の手掛かりを探す検査|結果をレビューし設計や実行時の検証も組み合わせる|指摘がゼロならすべての実行環境で安全と保証する|実際にアプリを動かさずに実施する解析が中心である|SASTで指摘ゼロなら業務ロジックの問題も存在しない|解析できる範囲に限界があり、業務要件や実行時の問題も別途確認する|検知した箇所の到達性と入力の扱いを確認する|ツールの指摘を文脈を見ずにすべて誤検知として閉じる
DAST|動作中のアプリに外部から入力等を与えて挙動を調べる検査|許可した環境と範囲で認証状態も含めて検証する|許可を取らず他社の本番へ負荷の高い検査を行う|ログイン後の経路は認証の準備がないと検査されない場合がある|トップページだけ検査すれば全機能の安全性が分かる|検査が届く範囲は入口や権限による。到達できなかった機能も把握する|検査したURLと利用者の権限を記録する|ツールが完了したため未到達の管理機能も検証済みとする
SCA|依存するソフトウェア部品や既知の脆弱性等を調べる解析|直接・間接の依存関係と版を把握して修正を評価する|自分で書いていないライブラリは調査対象から外す|間接的に導入された依存にも脆弱性が含まれ得る|直接インストールした部品だけに弱点が存在する|部品の依存先にも弱点があり得る。間接依存を含む構成を把握する|該当機能の利用有無と更新による影響を調べる|名前が似た別パッケージの修正情報をそのまま適用する
SBOM|ソフトウェアを構成する部品を記載した一覧|実際のリリースに対応する構成を維持する|一度作った一覧をすべての将来リリースに使い回す|脆弱性が見つかった時に影響する製品を探す助けになる|SBOMが存在すれば含まれる部品に脆弱性はない|SBOMは構成情報であり安全性の保証書ではない。情報を基に継続して評価する|新しい部品の問題と配布した版を照合する|一覧ファイルがあるだけで脆弱性対応を完了する
依存関係の混同|内部向け部品と同名の外部部品が誤って選択される問題|取得元と名前空間、解決規則を明確に固定する|内部名と同じ外部パッケージを常に優先する|パッケージの解決規則が攻撃面になることがある|社内で決めたパッケージ名は公開レジストリでも必ず社内所有だ|同じ名前が別の取得元で使われる場合がある。取得先と所有を確認する|ビルドが実際に参照したレジストリを検証する|パッケージ名の一致だけで正規の取得元と判断する
パッケージのタイポスクワッティング|人気の部品に似た綴りの名前で誤導入を狙う手口|正確な名前と配布元を確認し依存の追加をレビューする|検索結果の先頭にある似た名前を確認なしで導入する|わずかな綴りの違いが別の配布者を指すことがある|ダウンロード数が表示されていれば部品名の誤りは無害だ|人気の表示や似た名前は正当性の保証ではない。取得する対象を正確に確認する|意図した公式文書から部品の名前を照合する|アイコンが同じため1文字違う名前を無視する
CI/CDの秘密保護|自動ビルドや配布工程で利用する資格情報を守ること|信頼できない変更へ本番の秘密を渡さない|外部からの任意の変更コードに本番鍵を読み取らせる|ビルドスクリプト自体が秘密へアクセスする経路になり得る|ログの伏せ字機能だけでビルド内の秘密は完全に守られる|ログ以外の外部送信や読み取りもあり得る。実行するコードと権限を制限する|変更の出所に応じてジョブの権限を分ける|表示が伏せ字なので任意コードにも秘密を渡す
ロックファイル|依存部品の解決結果を記録し再現性を高めるファイル|レビューして保管し更新時に差分を確認する|安全な内容か確認せず自動更新のすべてを承認する|版の固定は再現性に役立つが更新管理は引き続き必要である|ロックファイルがあれば依存部品の脆弱性は消える|版を固定してもその版の脆弱性は残る。再現性と安全性の評価は別である|意図しない取得元や部品の差し替わりを確認する|ビルドが再現できれば悪意ある依存も無害になるとする
署名付きリリース|配布物に署名を付け、由来や改変の確認を可能にした公開物|利用前に署名を検証し署名鍵の信頼も確認する|署名ファイルが添付されていれば検証を省く|署名鍵が盗まれると悪意ある配布物が署名される危険もある|正しく署名されたソフトには実装の脆弱性がない|署名は由来や完全性の確認を支援するが、実装の正しさを保証しない|署名の検証結果と脆弱性情報を別々に評価する|署名が正しいためコードレビューと更新対応を打ち切る
#monitor|監視と検知|SIGNAL WATCH|https://csrc.nist.gov/pubs/sp/800/92/final|NIST：ログ管理
SIEM|複数の情報源のログ等を集約し相関分析する仕組み|必要なログの収集と調査手順を整える|ログを入れれば自動ですべての攻撃を確定できるとする|時刻や識別子の整合は相関分析の精度に影響する|SIEMに取り込まれたログは内容が必ず正しい|収集元の設定や時刻、欠損、侵害を考慮する必要がある|検知ルールが必要なログを受け取っているか確認する|ダッシュボードの件数だけで収集元の停止を見落とす
誤検知|正常な活動を問題や攻撃として検知すること|根拠を調査し影響を見て規則を調整する|誤検知が1回あったら関連監視を永久に停止する|検知の感度を上げると誤検知も増える場合がある|誤検知をゼロにすれば見逃しも自動でゼロになる|誤検知と見逃しには両立しにくい面があり、両方を評価する必要がある|正規の業務パターンを理解して例外を限定する|例外に全利用者と全操作を含めて警告を消す
見逃し|実際に問題がある活動を検知できないこと|安全な検証や演習で検知範囲を確認する|アラートが少ないことだけを性能の良さとする|収集されない領域の攻撃は検知できない場合がある|アラートが出ていなければ攻撃は存在しない|検知範囲や設定による見逃しもあり、警告の不在は安全の証明ではない|必要な活動を記録・検知できるか定期的に確かめる|静かな監視画面だけを見て検知テストをやめる
IOC|侵害の手掛かりとなるハッシュや通信先等の指標|一致の文脈と指標の鮮度を確認する|指標に一度一致したらすべての端末を同じ被害と断定する|通信先などの指標は時間とともに変わり得る|過去のIOCに一致しなければ新しい攻撃も否定できる|IOCは既知の手掛かりであり、未登録の指標や変化する攻撃を網羅しない|IOCに加えて不審な動作のパターンも調査する|既知リストにない通信先は無条件に正常と見なす
TTP|攻撃者の戦術・技術・手順を表す観点|どの目的にどの動作が使われるかを分析する|特定IPだけを攻撃者の全手法と同一視する|具体的なアドレスが変わっても行動の特徴が残る場合がある|TTPは不正IPアドレスの一覧だけを指す|TTPは行動や手法の観点であり、個別の指標だけを指すものではない|観測した動作を仮説と証拠を分けて記録する|行動が似ているだけで特定人物への帰属を断定する
ベースライン|通常時の活動量や挙動を把握した比較の基準|業務の周期と変化を反映して更新する|一度の平日の測定だけを全期間の正常値とする|月末処理など正規業務にも通常と異なるピークがある|通常値を超えた通信は必ず不正である|業務変更や季節性による変化もあり、文脈と照合して判断する|急増が正規の一括処理と対応するか確かめる|数値の変化だけで利用者の不正を確定する
ログの時刻同期|複数機器の記録を時刻で対応づけられるよう整えること|信頼できる時刻源とタイムゾーンを管理する|機器ごとに違う時刻でも同じ数字として比較する|UTCとローカル時刻の混在は順序の誤認を招く場合がある|ログに時刻があればタイムゾーン確認は不要だ|同じ表示時刻でもタイムゾーンや時計のずれが違う。基準を合わせる|調査時に時計のずれと記録の精度を確認する|表示時刻の大小だけで全イベントの因果関係を断定する
ログの改変保護|記録を不正に書き換えたり削除したりしにくくする対策|別の保護境界への転送やアクセス制限を行う|管理者を共有してどのログも無制限に編集可能にする|記録対象の端末が侵害されるとローカルログも影響を受け得る|侵害された端末上のログは必ず完全で改変されていない|攻撃者の権限や設定次第で改変・欠落の可能性があるため、別の証拠とも照合する|別系統の記録と欠損時間を比較する|ログが消えているので活動がなかったと結論する
アラート疲れ|過剰な通知で重要な警告への注意や対応が弱まる状態|優先順位付けと重複整理で調査可能な量にする|重要度に関係なく全イベントを毎回緊急通知する|対応可能な件数を超えると重要な警告が埋もれやすい|通知を増やすほど担当者の検知能力は必ず高まる|人が処理できる量には限りがあり、質と優先順位の設計が必要|未処理の重大アラートと対応時間を確認する|送信した通知の数だけを対応の成果にする
検知ルールの検証|想定する活動が監視ルールに検知されるか確かめる活動|許可したテストデータと安全な演習で確認する|設定画面にルール名があれば動作確認は不要とする|ログ形式の変更で既存ルールが効かなくなる場合がある|監視ルールは導入時に成功すれば以後ずっと同じ精度で動く|製品更新やログ形式、業務の変化に合わせた再検証が必要である|収集から通知、担当者の確認まで一連の経路を確かめる|検索条件だけが正しいので通知先の不備を放置する
#incident|インシデント対応|RESPONSE HQ|https://csrc.nist.gov/pubs/sp/800/61/r3/final|NIST：インシデント対応 Rev.3
インシデント対応計画|事故を認識して被害を抑え復旧するための役割や手順を定めた計画|連絡先・判断権限・代替経路を整備して演習する|事故が起きてから初めて担当者を探し始める|通常の連絡システム自体が利用不能になることも想定する|社内メールが使えなくなる事態は対応計画で考えなくてよい|認証や通信の侵害・停止に備え、利用できる代替連絡経路を用意する|緊急時に計画と連絡先へアクセスできるか確かめる|計画を侵害対象の共有サーバーにだけ置く
トリアージ|限られた時間で事象を評価し調査や対応の優先順位を決めること|影響・緊急性・確度を整理して優先度を決める|到着した順番だけで重大度を決定する|限られた証拠で付けた優先度は後で見直す場合がある|初期評価で付けた重大度は新情報が出ても変更してはいけない|情報の増加に応じて評価を更新し、対応資源を配分する|業務への影響と確かな観測、未確認事項を分ける|警告の名前が派手なら証拠を問わず最重大とする
封じ込め|事故の拡大や継続を抑えるためアクセスや通信等を制限する対応|業務影響と証拠への影響を考えて隔離する|常に全機器を即座に初期化する|侵害端末のネットワーク隔離は選択肢の一つである|封じ込めとは必ずすべてのデータを削除することだ|拡大を抑える措置が目的で、削除や初期化と同義ではない|隔離後に被害の拡大が止まったか監視する|隔離操作を実施したので効果を確認しない
根絶|不正な足場や原因を除き再び悪用されないようにする対応|侵入経路と残存する不正設定を確認して修正する|検知されたプロセスを停止しただけで原因調査を終える|認証情報や永続化の設定も対象になり得る|警告が消えれば侵入の根本原因も必ず除去できている|症状の停止と原因の除去は別。残った経路や資格情報も調査する|修正した弱点や足場が再利用できないか検証する|不正ファイルを1つ消したら侵害範囲を調べない
復旧|被害を受けたサービスを確認しながら安全に戻す対応|安全性と業務機能を確認し段階的に再開する|感染時期不明のコピーを無検証で本番へ戻す|復旧後にも再発や残存した侵害の監視が必要である|システムが起動した時点で復旧後の監視は不要だ|起動は機能の一部の確認にすぎず、安全性と再発の有無も確認する|戻したデータと重要な処理の整合性を点検する|ログインできたので全業務の復旧が完了したとする
事後レビュー|事故への対応を振り返り改善へつなげる活動|原因・判断・連絡・復旧の改善点を記録する|担当個人を責めるだけで手順や設計を見直さない|技術以外の連絡や権限の不備も改善対象である|事後レビューは犯人探しだけを目的に行う|対応能力を改善する活動であり、仕組みや判断の再発防止へつなげる|改善事項の担当と期限を決めて追跡する|報告書を書いたら改善の実施状況を確認しない
エスカレーション|事象を判断権限や専門性のある担当へ引き上げること|重大度と判断基準に応じて責任者へ共有する|確証が100%になるまで重大な兆候も誰にも伝えない|未確認事項を明示した早期共有が役立つ場合がある|証拠が完全にそろうまでは社内報告してはいけない|緊急時は確かな事実と不確実性を分けて共有し、組織の基準で判断する|何が確認済みで何が推測かを明記する|速報の段階で原因や攻撃者を確定したように伝える
